PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other 
E14001114,Boston and Skegness,East Midlands,42.91,27.26,5.30,0.85,21.52,0,0,2.15,32.88,19.38,2.17,0.11,11.25,0,0,0.45,52.56,36.11,10.38,2.94,33.92,0,0,5.76 
E14001115,Bournemouth East,South West,24.49,38.27,6.35,12.98,15.58,0,0,2.32,18.18,28.06,2.00,4.36,7.92,0,0,0.48,31.46,48.47,14.00,26.51,25.92,0,0,6.40 
E14001116,Bournemouth West,South West,23.92,39.82,11.20,6.36,16.90,0,0,1.80,17.71,29.83,4.20,1.16,8.84,0,0,0.32,30.52,50.37,21.10,15.87,27.27,0,0,4.88 
E14001117,Bracknell,South East,33.96,36.59,11.53,3.33,12.80,0,0,1.80,26.95,27.44,4.87,0.52,6.41,0,0,0.39,41.66,45.88,21.04,8.57,21.52,0,0,4.89 
E14001118,Bradford East,Yorkshire and The Humber,13.87,46.60,12.85,11.69,10.73,0,0,4.26,9.93,33.93,5.19,3.59,4.88,0,0,0.88,18.41,59.63,23.63,25.51,19.99,0,0,11.47 
E14001119,Bradford South,Yorkshire and The Humber,18.56,48.53,2.77,9.21,15.50,0,0,5.43,13.44,36.01,0.66,2.23,7.70,0,0,1.29,24.79,60.65,7.72,21.06,26.35,0,0,14.86 
E14001120,Bradford West,Yorkshire and The Humber,8.47,70.79,1.80,9.10,6.24,0,0,3.59,5.67,60.28,0.52,2.58,2.57,0,0,0.77,11.89,79.95,4.43,20.19,11.99,0,0,9.56 
E14001121,Braintree,East of England,34.41,37.05,7.59,1.71,15.92,0,0,3.30,26.84,27.87,2.94,0.29,8.22,0,0,0.72,42.64,47.12,14.74,5.12,26.49,0,0,8.90 
E14001122,Brent East,London,16.79,44.69,11.79,7.96,6.77,0,0,12.01,12.29,31.74,4.52,1.78,2.70,0,0,3.56,22.17,57.94,22.45,19.69,13.18,0,0,27.47 
E14001123,Brent West,London,23.23,45.09,10.99,6.58,8.64,0,0,5.47,17.89,33.45,4.72,1.66,3.73,0,0,1.43,29.79,56.16,19.90,15.31,15.77,0,0,12.76 
E14001124,Brentford and Isleworth,London,20.01,40.48,15.32,7.96,10.36,0,0,5.89,15.06,29.16,7.06,2.10,4.94,0,0,1.64,25.55,51.24,27.16,17.68,18.29,0,0,13.72 
E14001125,Brentwood and Ongar,East of England,39.26,26.00,14.74,5.15,13.01,0,0,1.84,31.02,18.41,6.98,1.40,6.17,0,0,0.35,47.64,34.25,25.55,12.02,22.08,0,0,5.17 
E14001126,Bridgwater,South West,27.21,37.93,17.28,3.50,13.10,0,0,0.98,20.71,27.97,8.56,0.73,5.81,0,0,0.18,34.05,48.22,27.25,8.66,23.44,0,0,2.91 
E14001127,Bridlington and The Wolds,Yorkshire and The Humber,26.21,30.42,5.40,14.75,22.50,0,0,0.72,18.73,20.44,1.62,5.02,11.83,0,0,0.12,34.35,41.78,12.63,30.67,36.37,0,0,2.43 
E14001128,Brigg and Immingham,Yorkshire and The Humber,33.09,33.26,3.80,6.77,23.09,0,0,0,23.67,22.84,1.00,1.28,10.86,0,0,0,43.32,44.65,9.38,17.17,39.01,0,0,0 
E14001129,Brighton Kemptown and Peacehaven,South East,25.19,60.79,2.80,9.88,0,0,0,1.34,19.34,51.43,0.73,4.11,0,0,0,0.21,31.11,69.67,6.60,18.51,0,0,0,4.37 
E14001130,Brighton Pavilion,South East,17.00,30.61,0.68,41.36,9.24,0,0,1.10,9.75,19.78,0.02,26.35,3.33,0,0,0.02,25.98,42.92,3.00,56.65,17.53,0,0,5.10 
E14001131,Bristol Central,South West,12.14,55.82,1.21,23.71,4.83,0,0,2.29,7.72,42.17,0.24,11.63,1.65,0,0,0.29,18.02,67.08,3.67,37.67,10.01,0,0,6.75 
E14001132,Bristol East,South West,17.75,68.74,6.48,4.77,0,0,0,2.26,12.55,58.39,2.09,0.92,0,0,0,0.38,23.87,78.23,14.49,12.14,0,0,0,6.42 
E14001133,Bristol North East,South West,22.23,46.25,4.28,12.87,12.41,0,0,1.96,16.61,35.01,1.36,4.42,5.65,0,0,0.32,29.24,57.05,9.16,25.52,21.23,0,0,5.54 
E14001134,Bristol North West,South West,19.57,49.89,7.22,15.30,6.76,0,0,1.27,14.91,38.57,2.77,6.35,2.86,0,0,0.24,24.84,60.30,14.39,29.14,13.11,0,0,3.77 
E14001135,Bristol South,South West,16.43,52.03,7.48,10.66,9.99,0,0,3.41,12.09,39.55,2.45,3.29,4.61,0,0,0.79,21.29,62.48,16.03,22.28,17.79,0,0,8.68 
E14001136,Broadland and Fakenham,East of England,30.12,33.55,12.46,11.62,12.25,0,0,0,22.34,23.62,5.19,3.61,5.37,0,0,0,38.00,44.09,23.43,25.39,21.25,0,0,0 
