Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,Conv,Labv,LDv,Grnv,Brxv,SNPv,PCv,APNIv,DUPv,SDLPv,SFv,UUPv,TotOthv,MaxOthv,ADVv,AGSv,ANWPv,AONTv,ASHv,BNPv,BPIv,BSJPv,CFv,CHPv,CMEPv,CMUv,CMUKv,COMLv,CPv,CPAv,CVPv,EDv,GWLDv,HWDIv,INETv,JACv,LBTv,LIBv,LNINv,LUTNv,MKv,MRLPv,MTHRv,NEPv,PATRv,PBPv,PFPv,POSv,PPNVv,RBDv,RENv,SDPv,SEPv,SFPv,SHRPv,SLPv,SNAVv,SOCv,TCRPv,TIGv,TLWv,UGPv,UKIPv,VPPv,WEPv,WRPv,WYv,YESHv,YPPv,YRKSv,IND1v,IND2v,IND3v,IND4v,IND5v,IND6v,blank2,total_votes,majority,maj%,Win19,Second19,CON%,LAB%,LD%,GRN%,BRX%,SNP%,PC%,APNI%,DUP%,SDLP%,SF%,UUP%,Tot oths%,Max oths%
Bath,Bath,E14001080,37,SW,England,County,8.5,77.7,73241,18251,7120,30376,146,642,0,0,0,0,0,0,0,341,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,,56876,12125,21.32,LD,Con,32.09,12.52,53.41,0.26,1.13,0.00,0.00,,,,,,0.60,0.60
Bathgate and Linlithgow,Bathgate & Linlithgow,S14000068,38,SC,Scotland,County,37.3,65.9,71650,11635,8874,3881,1029,904,20306,0,0,0,0,0,0,588,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,,47217,8671,18.36,SNP,Con,24.64,18.79,8.22,2.18,1.91,43.01,0.00,,,,,,1.25,1.25
Battersea,Battersea,E14001081,39,GL,England,Borough,9.3,76.3,71949,19431,25457,8316,1364,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,54918,6026,10.97,Lab,Con,35.38,46.35,15.14,2.48,0.64,0.00,0.00,,,,,,0.00,0.00
Beaconsfield,Beaconsfield,E14001082,40,SE,England,County,7.9,72.8,72315,29211,5211,0,1935,0,0,0,0,0,0,0,0,16276,15439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15439,837,0,0,0,0,,52633,13772,26.17,Con,Other,55.50,9.90,0.00,3.68,0.00,0.00,0.00,,,,,,30.92,29.33
Beckenham and Penge,Beckenham & Penge,E14001083,41,GL,England,Borough,84.0,78.5,76625,23487,24118,9657,2416,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60142,631,1.05,Lab,Con,39.05,40.10,16.06,4.02,0.77,0.00,0.00,,,,,,0.00,0.00
Bedford,Bedford,E14001084,42,EE,England,Borough,3.3,66.5,70068,19550,20663,4672,924,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46603,1113,2.39,Lab,Con,41.95,44.34,10.03,1.98,1.70,0.00,0.00,,,,,,0.00,0.00
Mid Bedfordshire,Bedfordshire Mid,E14001359,43,EE,England,County,19.3,71.5,71748,31034,10525,6420,1998,0,0,0,0,0,0,0,0,1348,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,0,0,0,0,0,,51325,20509,39.96,Con,Lab,60.47,20.51,12.51,3.89,0.00,0.00,0.00,,,,,,2.63,1.58
North Bedfordshire,Bedfordshire North,E14001384,44,EE,England,County,28.2,73.6,76319,34360,10729,7403,1585,102,0,0,0,0,0,0,0,2023,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0,,"56,202","23,631",42.05,Con,Lab,61.14,19.09,13.17,2.82,0.18,0.00,0.00,,,,,,3.60,3.60
Belfast East,Belfast East,N05000001,45,NI,Northern Ireland,Borough,14.8,64.4,70076,,,,,,,,18990,21616,1939,,2581,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45126,2626,5.82,DUP,All,0.00,,,0.00,,,,42.08,47.90,4.30,0.00,5.72,0.00,0.00
Belfast North,Belfast North,N05000002,46,NI,Northern Ireland,Borough,14.4,67.4,71372,5,,,,,,,5099,19419,225,23158,161,73,57,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48140,3739,7.77,SF,DUP,0.01,,,0.00,,,,10.59,40.34,0.47,48.11,0.33,0.12,0.15
