pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001195,Derbyshire Dales,East Midlands,England,33.46%,25.28%,41.17%,37.75%,30.43%,46.46%,8.04%,4.08%,14.52%,14.23%,7.37%,24.78%,5.16%,2.40%,9.67%,0.38%,0.21%,0.67%,NA,NA,NA,NA,NA,NA, toss up
E14001196,Dewsbury and Batley,Yorkshire and The Humber,England,17.91%,13.90%,22.23%,55.12%,45.70%,63.82%,3.23%,1.20%,7.34%,9.43%,5.61%,15.86%,11.01%,5.68%,20.34%,2.06%,1.20%,3.49%,NA,NA,NA,NA,NA,NA, strong lab
E14001197,Didcot and Wantage,South East,England,29.34%,21.89%,35.83%,29.25%,20.95%,39.48%,26.58%,17.21%,37.71%,10.16%,4.98%,17.98%,3.51%,1.41%,7.31%,0.35%,0.21%,0.61%,NA,NA,NA,NA,NA,NA, toss up
E14001198,Doncaster Central,Yorkshire and The Humber,England,20.81%,15.19%,27.98%,48.59%,39.61%,57.15%,5.44%,2.20%,12.16%,16.82%,9.44%,25.64%,5.94%,2.66%,11.37%,1.15%,0.66%,1.98%,NA,NA,NA,NA,NA,NA, strong lab
E14001199,Doncaster East and the Isle of Axholme,Yorkshire and The Humber,England,27.43%,19.63%,35.50%,33.19%,25.26%,42.14%,4.68%,1.96%,9.57%,28.48%,18.05%,40.13%,4.73%,2.19%,10.28%,0.47%,0.26%,0.80%,NA,NA,NA,NA,NA,NA, toss up
E14001200,Doncaster North,Yorkshire and The Humber,England,25.43%,17.89%,32.62%,62.42%,51.02%,72.47%,6.06%,2.27%,14.20%,NA,NA,NA,4.29%,1.56%,11.23%,0.76%,0.37%,1.47%,NA,NA,NA,NA,NA,NA, strong lab
E14001201,Dorking and Horley,South East,England,29.29%,22.24%,36.32%,16.62%,10.66%,25.06%,40.97%,28.45%,54.57%,7.97%,3.80%,14.64%,4.12%,1.74%,8.91%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely ld
E14001202,Dover and Deal,South East,England,27.24%,19.91%,34.15%,45.74%,37.78%,55.04%,5.12%,2.10%,11.41%,16.14%,9.12%,25.96%,3.99%,1.67%,9.03%,0.33%,0.19%,0.56%,NA,NA,NA,NA,NA,NA, likely lab
E14001203,Droitwich and Evesham,West Midlands,England,34.80%,27.37%,42.63%,27.62%,20.27%,35.66%,13.25%,7.57%,21.94%,19.44%,11.24%,29.06%,3.78%,1.57%,7.46%,0.36%,0.19%,0.65%,NA,NA,NA,NA,NA,NA, lean con
E14001204,Dudley,West Midlands,England,31.78%,23.29%,39.37%,47.63%,38.20%,57.27%,2.35%,0.84%,6.25%,13.90%,6.68%,25.36%,2.58%,0.99%,5.66%,0.53%,0.31%,0.93%,NA,NA,NA,NA,NA,NA, likely lab
E14001205,Dulwich and West Norwood,London,England,7.29%,4.97%,10.29%,63.36%,52.68%,72.57%,4.03%,1.52%,9.14%,4.64%,2.07%,9.11%,17.72%,9.70%,28.51%,2.18%,1.23%,3.65%,NA,NA,NA,NA,NA,NA, strong lab
E14001206,Dunstable and Leighton Buzzard,Eastern,England,29.76%,21.41%,37.24%,36.85%,28.64%,45.54%,9.61%,4.60%,17.71%,15.46%,8.13%,26.64%,6.65%,3.54%,11.91%,0.44%,0.25%,0.77%,NA,NA,NA,NA,NA,NA, lean lab
E14001207,Ealing Central and Acton,London,England,13.49%,9.86%,17.06%,58.71%,49.37%,66.23%,7.56%,3.84%,13.69%,6.99%,3.85%,12.13%,9.97%,5.52%,17.94%,2.38%,1.56%,3.66%,NA,NA,NA,NA,NA,NA, strong lab
E14001208,Ealing North,London,England,19.48%,15.81%,24.23%,59.90%,51.42%,67.20%,4.98%,1.95%,10.06%,6.41%,3.08%,11.14%,5.94%,2.65%,11.77%,2.41%,1.61%,3.69%,NA,NA,NA,NA,NA,NA, strong lab
E14001209,Ealing Southall,London,England,14.51%,10.67%,18.08%,66.62%,57.04%,75.12%,4.36%,1.70%,9.78%,4.78%,2.16%,8.62%,6.58%,2.91%,12.21%,2.57%,1.58%,4.05%,NA,NA,NA,NA,NA,NA, strong lab
E14001210,Earley and Woodley,South East,England,37.13%,31.53%,43.30%,42.30%,32.23%,51.45%,12.26%,5.86%,21.56%,NA,NA,NA,6.11%,2.87%,12.84%,1.30%,0.74%,2.19%,NA,NA,NA,NA,NA,NA, lean lab
E14001211,Easington,North East,England,12.58%,7.72%,18.54%,56.78%,47.24%,66.21%,5.04%,1.85%,12.55%,20.33%,12.02%,30.13%,3.51%,1.27%,8.29%,0.45%,0.21%,0.89%,NA,NA,NA,NA,NA,NA, strong lab
E14001212,East Grinstead and Uckfield,South East,England,44.82%,37.39%,50.94%,29.83%,21.56%,39.90%,15.40%,7.90%,26.15%,NA,NA,NA,8.63%,4.45%,15.64%,0.37%,0.22%,0.61%,NA,NA,NA,NA,NA,NA, likely con
E14001213,East Ham,London,England,10.07%,7.33%,12.92%,72.39%,63.01%,80.76%,2.61%,0.91%,6.56%,3.82%,1.78%,7.32%,6.92%,3.11%,13.39%,3.45%,1.98%,5.67%,NA,NA,NA,NA,NA,NA, strong lab
E14001214,East Hampshire,South East,England,35.45%,28.39%,42.05%,22.70%,15.92%,31.17%,20.09%,12.27%,30.23%,12.79%,6.71%,20.80%,7.88%,3.83%,13.36%,0.31%,0.18%,0.53%,NA,NA,NA,NA,NA,NA, likely con
E14001215,East Surrey,South East,England,37.53%,30.54%,45.54%,25.46%,17.99%,33.74%,15.34%,8.56%,24.68%,15.17%,8.26%,23.52%,4.82%,2.11%,10.09%,0.48%,0.30%,0.78%,NA,NA,NA,NA,NA,NA, likely con
E14001216,East Thanet,South East,England,25.10%,18.75%,31.61%,45.78%,37.81%,54.72%,3.08%,1.15%,6.94%,18.99%,11.22%,29.44%,5.73%,2.62%,11.29%,0.43%,0.25%,0.72%,NA,NA,NA,NA,NA,NA, strong lab
E14001217,East Wiltshire,South West,England,36.04%,28.49%,43.39%,32.01%,24.14%,41.12%,12.04%,6.36%,20.43%,14.32%,7.56%,24.29%,3.99%,1.73%,7.85%,0.38%,0.22%,0.64%,NA,NA,NA,NA,NA,NA, toss up
E14001218,East Worthing and Shoreham,South East,England,27.17%,21.05%,33.36%,48.49%,39.16%,57.00%,5.06%,2.06%,11.63%,11.66%,5.50%,20.25%,6.27%,2.88%,11.85%,0.39%,0.23%,0.65%,NA,NA,NA,NA,NA,NA, strong lab
E14001219,Eastbourne,South East,England,28.53%,21.82%,35.79%,22.55%,14.89%,32.61%,33.26%,22.91%,43.73%,11.12%,6.07%,19.08%,2.89%,1.13%,6.23%,0.46%,0.26%,0.82%,NA,NA,NA,NA,NA,NA, toss up
E14001220,Eastleigh,South East,England,30.47%,23.52%,38.11%,19.87%,13.18%,28.70%,35.61%,24.93%,48.28%,8.54%,3.86%,15.33%,3.88%,1.65%,8.25%,0.30%,0.17%,0.55%,NA,NA,NA,NA,NA,NA, lean ld
E14001221,Edmonton and Winchmore Hill,London,England,18.38%,14.45%,22.69%,62.46%,53.25%,69.86%,3.66%,1.33%,8.39%,6.59%,3.25%,11.88%,5.77%,2.45%,12.20%,2.28%,1.49%,3.44%,NA,NA,NA,NA,NA,NA, strong lab
E14001222,Ellesmere Port and Bromborough,North West,England,13.22%,8.85%,17.46%,65.98%,56.02%,73.97%,4.09%,1.50%,9.62%,9.69%,5.36%,17.54%,5.40%,2.17%,11.86%,0.67%,0.35%,1.28%,NA,NA,NA,NA,NA,NA, strong lab
E14001223,Eltham and Chislehurst,London,England,25.61%,19.35%,31.64%,49.81%,41.00%,58.04%,3.88%,1.46%,9.29%,12.94%,6.94%,21.57%,5.21%,2.21%,10.46%,1.46%,0.92%,2.31%,NA,NA,NA,NA,NA,NA, strong lab
E14001224,Ely and East Cambridgeshire,Eastern,England,34.30%,27.43%,41.08%,28.44%,21.13%,36.39%,18.79%,11.89%,27.12%,12.27%,6.90%,20.42%,4.96%,2.17%,9.13%,0.39%,0.23%,0.65%,NA,NA,NA,NA,NA,NA, lean con
E14001225,Enfield North,London,England,20.81%,15.98%,25.75%,56.37%,47.63%,63.99%,3.48%,1.49%,7.47%,9.66%,5.33%,16.12%,6.97%,3.32%,13.68%,2.06%,1.36%,3.14%,NA,NA,NA,NA,NA,NA, strong lab
E14001226,Epping Forest,Eastern,England,41.90%,34.30%,48.83%,40.25%,31.07%,51.53%,10.80%,5.06%,19.79%,NA,NA,NA,5.37%,2.46%,10.31%,0.76%,0.43%,1.29%,NA,NA,NA,NA,NA,NA, toss up
E14001227,Epsom and Ewell,South East,England,29.64%,22.25%,35.95%,22.53%,14.96%,31.38%,34.96%,24.38%,48.28%,7.26%,3.50%,13.40%,4.02%,1.59%,8.12%,0.64%,0.38%,1.11%,NA,NA,NA,NA,NA,NA, lean ld
E14001228,Erewash,East Midlands,England,28.31%,21.78%,34.85%,45.42%,37.64%,52.92%,3.12%,1.25%,7.21%,15.99%,9.13%,25.02%,5.82%,2.78%,11.42%,0.39%,0.23%,0.60%,NA,NA,NA,NA,NA,NA, likely lab
E14001229,Erith and Thamesmead,London,England,15.69%,11.91%,19.90%,60.30%,49.87%,68.79%,3.85%,1.48%,8.49%,8.81%,4.51%,14.78%,7.81%,3.57%,15.60%,2.55%,1.61%,3.94%,NA,NA,NA,NA,NA,NA, strong lab
E14001230,Esher and Walton,South East,England,27.50%,20.36%,34.65%,11.03%,6.40%,17.98%,49.15%,39.42%,61.44%,7.63%,3.60%,13.90%,2.95%,1.12%,6.70%,0.51%,0.27%,0.88%,NA,NA,NA,NA,NA,NA, strong ld
E14001231,Exeter,South West,England,13.91%,10.23%,18.33%,54.72%,43.98%,63.43%,7.35%,3.28%,14.50%,8.54%,4.44%,14.48%,13.57%,7.51%,22.87%,1.14%,0.67%,1.89%,NA,NA,NA,NA,NA,NA, strong lab
E14001232,Exmouth and Exeter East,South West,England,34.41%,26.02%,42.37%,26.24%,18.26%,35.98%,15.98%,8.19%,27.17%,15.95%,7.96%,27.97%,5.39%,2.47%,10.39%,0.53%,0.29%,0.95%,NA,NA,NA,NA,NA,NA, lean con
E14001233,Fareham and Waterlooville,South East,England,37.06%,29.80%,44.07%,31.16%,23.80%,40.04%,12.64%,6.87%,19.98%,13.28%,7.43%,21.75%,4.80%,2.24%,8.96%,0.27%,0.16%,0.44%,NA,NA,NA,NA,NA,NA, lean con
E14001234,Farnham and Bordon,South East,England,36.65%,28.35%,44.67%,16.55%,10.44%,25.34%,31.00%,20.18%,43.81%,10.59%,5.03%,19.20%,3.70%,1.52%,7.75%,0.33%,0.19%,0.57%,NA,NA,NA,NA,NA,NA, lean con
E14001235,Faversham and Mid Kent,South East,England,33.71%,26.69%,40.79%,34.50%,26.25%,44.06%,9.81%,4.39%,17.91%,15.93%,8.87%,25.21%,4.64%,2.06%,8.69%,0.31%,0.19%,0.51%,NA,NA,NA,NA,NA,NA, toss up
E14001236,Feltham and Heston,London,England,22.07%,17.66%,26.91%,57.32%,49.44%,65.24%,4.60%,1.90%,9.85%,7.12%,3.68%,12.01%,5.60%,2.61%,11.12%,2.41%,1.58%,3.62%,NA,NA,NA,NA,NA,NA, strong lab
E14001237,Filton and Bradley Stoke,South West,England,25.96%,19.84%,31.77%,53.27%,44.65%,62.33%,4.66%,1.93%,9.62%,9.79%,5.10%,17.21%,5.28%,2.34%,10.92%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001238,Finchley and Golders Green,London,England,28.95%,22.60%,34.90%,45.13%,36.16%,55.18%,11.76%,5.64%,20.13%,5.85%,2.61%,11.62%,5.47%,2.55%,11.93%,1.53%,0.91%,2.39%,NA,NA,NA,NA,NA,NA, likely lab
E14001239,Folkestone and Hythe,South East,England,30.22%,23.44%,37.01%,42.69%,34.26%,52.00%,4.86%,1.93%,10.54%,14.52%,8.06%,23.54%,6.02%,2.80%,11.25%,0.46%,0.28%,0.76%,NA,NA,NA,NA,NA,NA, likely lab
E14001240,Forest of Dean,South West,England,28.89%,21.92%,36.10%,39.65%,31.05%,47.82%,6.97%,2.94%,14.97%,15.95%,9.09%,26.13%,7.07%,3.42%,12.48%,0.30%,0.15%,0.55%,NA,NA,NA,NA,NA,NA, likely lab
E14001241,Frome and East Somerset,South West,England,27.68%,21.24%,34.16%,31.09%,24.14%,39.07%,20.50%,13.36%,29.23%,11.56%,5.81%,18.82%,7.94%,4.12%,13.34%,0.34%,0.19%,0.56%,NA,NA,NA,NA,NA,NA, toss up
E14001242,Fylde,North West,England,35.51%,28.34%,42.60%,41.66%,33.59%,50.78%,5.60%,2.26%,11.53%,12.27%,6.04%,20.58%,3.70%,1.45%,7.97%,0.43%,0.26%,0.73%,NA,NA,NA,NA,NA,NA, lean lab
E14001243,Gainsborough,East Midlands,England,36.90%,29.38%,45.13%,32.69%,25.54%,40.98%,9.26%,4.53%,16.41%,16.54%,8.81%,26.47%,3.09%,1.26%,7.01%,0.35%,0.20%,0.63%,NA,NA,NA,NA,NA,NA, toss up
E14001244,Gateshead Central and Whickham,North East,England,14.06%,9.25%,19.71%,59.45%,48.93%,68.65%,3.65%,1.38%,8.44%,13.01%,7.01%,21.09%,7.67%,3.23%,14.97%,0.77%,0.34%,1.66%,NA,NA,NA,NA,NA,NA, strong lab
E14001245,Gedling,East Midlands,England,23.54%,16.85%,29.81%,48.41%,40.79%,56.66%,2.80%,1.11%,6.34%,17.04%,10.35%,27.04%,6.70%,3.24%,11.97%,0.58%,0.37%,0.90%,NA,NA,NA,NA,NA,NA, strong lab
E14001246,Gillingham and Rainham,South East,England,31.30%,23.92%,38.86%,40.11%,32.16%,48.34%,4.80%,1.95%,10.48%,18.09%,10.34%,28.15%,4.20%,1.78%,8.70%,0.52%,0.30%,0.84%,NA,NA,NA,NA,NA,NA, lean lab
E14001247,Glastonbury and Somerton,South West,England,34.06%,27.42%,41.43%,14.97%,10.16%,21.44%,33.68%,24.84%,43.73%,10.82%,5.80%,18.18%,5.31%,2.42%,10.39%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001248,Gloucester,South West,England,27.73%,21.40%,34.60%,45.86%,38.69%,53.63%,7.19%,3.52%,13.33%,13.67%,7.82%,21.70%,4.02%,1.67%,7.85%,0.56%,0.32%,0.98%,NA,NA,NA,NA,NA,NA, likely lab
E14001249,Godalming and Ash,South East,England,34.18%,27.34%,40.87%,16.75%,10.74%,24.85%,32.94%,22.55%,44.31%,10.60%,5.39%,18.37%,4.44%,1.85%,8.88%,0.35%,0.21%,0.60%,NA,NA,NA,NA,NA,NA, toss up
E14001250,Goole and Pocklington,Yorkshire and The Humber,England,35.49%,27.45%,42.69%,37.57%,29.41%,46.62%,6.75%,3.22%,12.32%,13.94%,7.48%,23.57%,4.89%,2.14%,9.92%,0.41%,0.22%,0.73%,NA,NA,NA,NA,NA,NA, toss up
E14001251,Gorton and Denton,North West,England,10.55%,7.34%,13.76%,67.79%,59.07%,75.65%,3.68%,1.38%,8.69%,8.45%,4.23%,13.66%,6.81%,3.06%,13.02%,2.12%,1.22%,3.50%,NA,NA,NA,NA,NA,NA, strong lab
E14001252,Gosport,South East,England,39.11%,32.26%,46.26%,33.43%,26.36%,41.95%,6.93%,3.27%,12.30%,14.10%,7.68%,22.42%,5.17%,2.57%,9.95%,0.36%,0.20%,0.60%,NA,NA,NA,NA,NA,NA, lean con
E14001253,Grantham and Bourne,East Midlands,England,36.44%,28.45%,44.57%,32.32%,24.88%,40.18%,5.05%,2.05%,9.92%,17.66%,10.20%,28.21%,7.08%,3.84%,12.97%,0.41%,0.26%,0.65%,NA,NA,NA,NA,NA,NA, toss up
E14001254,Gravesham,South East,England,33.46%,25.81%,40.85%,38.62%,30.38%,47.68%,5.22%,2.20%,11.55%,16.46%,8.72%,27.46%,5.04%,2.12%,10.99%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean lab
E14001255,Great Grimsby and Cleethorpes,Yorkshire and The Humber,England,28.32%,20.93%,36.09%,43.95%,35.95%,53.15%,4.73%,1.77%,11.68%,16.85%,9.24%,27.58%,4.35%,1.74%,9.49%,0.56%,0.32%,0.99%,NA,NA,NA,NA,NA,NA, likely lab
E14001256,Great Yarmouth,Eastern,England,20.44%,10.87%,33.62%,43.12%,29.90%,57.20%,1.94%,0.53%,5.86%,27.74%,14.91%,43.93%,3.96%,1.06%,11.07%,0.75%,0.33%,1.64%,NA,NA,NA,NA,NA,NA, likely lab
E14001257,Greenwich and Woolwich,London,England,11.54%,8.65%,14.75%,60.49%,50.94%,68.96%,9.46%,4.95%,16.71%,4.96%,2.27%,8.53%,9.77%,4.91%,17.92%,2.85%,1.75%,4.36%,NA,NA,NA,NA,NA,NA, strong lab
E14001258,Guildford,South East,England,24.71%,18.33%,31.23%,15.63%,10.13%,22.94%,38.80%,28.40%,48.93%,14.86%,8.46%,23.91%,4.29%,1.86%,8.69%,0.69%,0.40%,1.17%,NA,NA,NA,NA,NA,NA, likely ld
E14001259,Hackney North and Stoke Newington,London,England,7.01%,5.00%,9.58%,62.26%,51.42%,71.21%,3.72%,1.56%,8.01%,5.32%,2.86%,9.47%,18.29%,10.72%,28.16%,2.78%,1.70%,4.41%,NA,NA,NA,NA,NA,NA, strong lab
E14001260,Hackney South and Shoreditch,London,England,5.52%,3.96%,7.74%,75.38%,66.17%,82.57%,3.66%,1.50%,7.32%,2.86%,1.34%,5.49%,9.70%,4.91%,17.05%,2.45%,1.46%,4.12%,NA,NA,NA,NA,NA,NA, strong lab
E14001261,Halesowen,West Midlands,England,31.55%,23.72%,39.38%,46.13%,37.84%,54.36%,2.21%,0.83%,5.52%,16.17%,8.28%,27.06%,2.80%,1.02%,6.08%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001262,Halifax,Yorkshire and The Humber,England,22.91%,17.91%,28.30%,51.38%,42.87%,60.39%,5.85%,2.32%,11.74%,12.17%,6.98%,19.31%,5.72%,2.63%,11.53%,1.03%,0.62%,1.74%,NA,NA,NA,NA,NA,NA, strong lab
E14001263,Hamble Valley,South East,England,37.53%,30.59%,45.23%,23.63%,15.99%,32.08%,17.82%,10.47%,28.11%,12.71%,7.12%,21.16%,6.44%,3.25%,13.07%,0.31%,0.18%,0.50%,NA,NA,NA,NA,NA,NA, likely con
E14001264,Hammersmith and Chiswick,London,England,15.66%,11.62%,19.73%,58.30%,49.21%,67.15%,8.42%,3.97%,16.40%,6.43%,3.12%,12.10%,8.05%,4.04%,14.79%,2.02%,1.29%,3.09%,NA,NA,NA,NA,NA,NA, strong lab
E14001265,Hampstead and Highgate,London,England,13.77%,10.39%,17.84%,59.22%,47.45%,68.34%,9.15%,3.92%,17.26%,5.47%,2.75%,9.83%,9.44%,4.15%,18.59%,2.12%,1.32%,3.26%,NA,NA,NA,NA,NA,NA, strong lab
E14001266,"Harborough, Oadby and Wigston",East Midlands,England,35.66%,29.37%,42.39%,40.49%,32.99%,49.30%,8.20%,4.08%,14.96%,9.73%,5.08%,17.08%,4.22%,1.83%,7.30%,0.71%,0.46%,1.06%,NA,NA,NA,NA,NA,NA, toss up
E14001267,Harlow,Eastern,England,30.83%,22.71%,39.41%,40.70%,32.43%,48.48%,3.70%,1.49%,8.62%,18.89%,10.37%,30.24%,4.09%,1.60%,9.22%,0.63%,0.35%,1.05%,NA,NA,NA,NA,NA,NA, lean lab
E14001268,Harpenden and Berkhamsted,Eastern,England,30.66%,24.04%,38.25%,16.63%,10.45%,23.91%,37.48%,27.92%,49.16%,9.25%,4.75%,16.08%,4.73%,2.12%,8.88%,0.38%,0.22%,0.67%,NA,NA,NA,NA,NA,NA, lean ld
E14001269,Harrogate and Knaresborough,Yorkshire and The Humber,England,33.01%,25.57%,39.99%,18.24%,11.90%,27.18%,37.25%,26.58%,48.97%,7.79%,3.39%,14.62%,2.42%,0.95%,5.54%,0.49%,0.26%,0.87%,NA,NA,NA,NA,NA,NA, toss up
E14001270,Harrow East,London,England,35.82%,29.65%,41.84%,47.60%,39.80%,55.26%,3.15%,1.14%,7.60%,8.17%,3.87%,14.59%,2.74%,1.12%,6.44%,1.71%,1.05%,2.75%,NA,NA,NA,NA,NA,NA, likely lab
E14001271,Harrow West,London,England,19.78%,15.75%,24.37%,61.46%,53.58%,69.34%,3.50%,1.51%,7.70%,7.29%,3.96%,11.71%,4.88%,2.19%,9.76%,2.24%,1.47%,3.40%,NA,NA,NA,NA,NA,NA, strong lab
E14001272,Hartlepool,North East,England,12.63%,6.97%,19.81%,54.46%,43.50%,65.00%,2.92%,0.87%,8.16%,24.85%,15.93%,35.68%,3.21%,1.03%,9.28%,0.51%,0.23%,1.00%,NA,NA,NA,NA,NA,NA, strong lab
E14001273,Harwich and North Essex,Eastern,England,32.22%,24.96%,39.16%,38.25%,30.89%,45.77%,6.56%,3.07%,12.11%,16.05%,9.70%,26.01%,6.07%,2.87%,11.13%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean lab
E14001274,Hastings and Rye,South East,England,27.52%,21.91%,33.35%,49.30%,40.93%,57.14%,3.30%,1.40%,6.55%,11.66%,6.32%,18.73%,6.90%,3.43%,13.42%,0.59%,0.34%,0.95%,NA,NA,NA,NA,NA,NA, strong lab
E14001275,Havant,South East,England,37.00%,28.76%,45.22%,30.65%,22.88%,39.45%,8.79%,4.20%,16.52%,14.56%,7.84%,24.81%,7.35%,3.75%,13.91%,0.33%,0.19%,0.55%,NA,NA,NA,NA,NA,NA, lean con
E14001276,Hayes and Harlington,London,England,22.02%,17.64%,26.76%,59.14%,50.26%,67.40%,2.86%,1.11%,7.13%,7.26%,3.92%,12.02%,5.22%,2.24%,11.08%,2.51%,1.63%,3.84%,NA,NA,NA,NA,NA,NA, strong lab
E14001277,Hazel Grove,North West,England,26.19%,19.19%,33.22%,27.11%,18.26%,36.80%,32.80%,21.39%,45.38%,9.12%,4.34%,17.33%,3.07%,1.22%,6.80%,0.39%,0.22%,0.68%,NA,NA,NA,NA,NA,NA, lean ld
E14001278,Hemel Hempstead,Eastern,England,28.59%,21.43%,36.09%,41.79%,32.51%,50.56%,5.72%,2.40%,11.56%,16.78%,9.44%,25.91%,6.13%,2.87%,12.92%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001279,Hendon,London,England,28.76%,23.21%,34.84%,50.18%,41.36%,58.17%,3.21%,1.25%,6.95%,9.00%,4.82%,16.22%,5.97%,2.55%,12.78%,1.81%,1.16%,2.71%,NA,NA,NA,NA,NA,NA, strong lab
E14001280,Henley and Thame,South East,England,31.52%,24.17%,38.31%,14.05%,8.80%,20.51%,38.38%,28.22%,49.72%,9.40%,4.74%,16.40%,5.44%,2.42%,10.40%,0.29%,0.17%,0.51%,NA,NA,NA,NA,NA,NA, lean ld
E14001281,Hereford and South Herefordshire,West Midlands,England,33.82%,26.56%,41.05%,32.67%,25.45%,40.98%,11.50%,6.13%,19.37%,15.32%,8.68%,24.07%,5.14%,2.26%,9.69%,0.46%,0.25%,0.79%,NA,NA,NA,NA,NA,NA, toss up
E14001282,Herne Bay and Sandwich,South East,England,32.46%,24.91%,40.16%,35.19%,28.14%,43.47%,8.83%,3.99%,16.16%,19.03%,11.38%,28.77%,3.61%,1.49%,7.01%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001283,Hertford and Stortford,Eastern,England,27.71%,20.66%,34.17%,39.77%,31.30%,48.64%,8.95%,4.80%,14.91%,15.50%,8.91%,24.59%,6.68%,3.57%,12.77%,0.49%,0.28%,0.83%,NA,NA,NA,NA,NA,NA, likely lab
E14001284,Hertsmere,Eastern,England,34.19%,25.47%,42.09%,32.80%,24.92%,41.90%,9.89%,4.66%,18.51%,15.92%,8.62%,27.73%,5.22%,2.23%,10.35%,0.80%,0.45%,1.41%,NA,NA,NA,NA,NA,NA, toss up
E14001285,Hexham,North East,England,38.19%,30.98%,44.76%,49.55%,38.84%,58.55%,6.04%,2.64%,12.39%,NA,NA,NA,5.11%,2.08%,10.98%,0.44%,0.22%,0.89%,NA,NA,NA,NA,NA,NA, likely lab
E14001286,Heywood and Middleton North,North West,England,22.77%,16.68%,29.53%,54.82%,47.12%,62.67%,3.89%,1.44%,9.08%,16.71%,9.95%,26.54%,NA,NA,NA,1.05%,0.62%,1.76%,NA,NA,NA,NA,NA,NA, strong lab
E14001287,High Peak,East Midlands,England,23.20%,17.12%,28.98%,58.88%,50.94%,67.03%,2.10%,0.76%,5.33%,10.54%,5.62%,18.23%,4.44%,1.82%,8.98%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001288,Hinckley and Bosworth,East Midlands,England,40.28%,31.96%,48.12%,28.05%,20.60%,38.27%,12.39%,6.29%,21.62%,13.06%,6.86%,22.02%,4.51%,2.06%,9.24%,0.34%,0.22%,0.53%,NA,NA,NA,NA,NA,NA, likely con
E14001289,Hitchin,Eastern,England,27.09%,21.15%,33.28%,36.06%,26.52%,46.73%,21.56%,12.68%,33.78%,9.07%,4.34%,16.57%,4.44%,1.69%,9.37%,0.50%,0.29%,0.83%,NA,NA,NA,NA,NA,NA, lean lab
E14001290,Holborn and St Pancras,London,England,8.23%,5.76%,10.81%,66.35%,55.80%,75.84%,6.06%,2.59%,12.31%,5.98%,3.16%,10.74%,10.06%,4.32%,18.56%,2.44%,1.45%,3.83%,NA,NA,NA,NA,NA,NA, strong lab
E14001291,Honiton and Sidmouth,South West,England,28.99%,20.90%,37.72%,14.22%,9.41%,20.25%,42.00%,31.01%,55.82%,11.02%,5.34%,18.80%,2.37%,0.97%,4.89%,0.26%,0.13%,0.51%,NA,NA,NA,NA,NA,NA, likely ld
E14001292,Hornchurch and Upminster,London,England,35.17%,26.74%,43.58%,37.63%,29.72%,47.19%,3.86%,1.35%,9.02%,18.53%,10.10%,29.57%,2.78%,1.16%,5.92%,0.67%,0.36%,1.22%,NA,NA,NA,NA,NA,NA, toss up
E14001293,Hornsey and Friern Barnet,London,England,8.38%,5.96%,11.24%,63.88%,54.82%,73.09%,11.20%,5.68%,18.86%,4.82%,2.43%,8.54%,8.50%,4.28%,15.80%,2.18%,1.37%,3.49%,NA,NA,NA,NA,NA,NA, strong lab
E14001294,Horsham,South East,England,36.53%,30.58%,43.20%,25.45%,18.80%,33.49%,21.73%,14.48%,30.44%,9.88%,4.87%,16.88%,5.02%,2.35%,9.09%,0.37%,0.23%,0.60%,NA,NA,NA,NA,NA,NA, likely con
E14001295,Houghton and Sunderland South,North East,England,16.47%,11.33%,22.34%,54.45%,44.81%,63.27%,3.74%,1.39%,8.52%,19.69%,11.55%,29.62%,4.71%,1.91%,9.87%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001296,Hove and Portslade,South East,England,13.91%,10.43%,17.84%,56.75%,46.60%,65.33%,5.74%,2.55%,10.98%,7.48%,3.83%,13.13%,13.84%,7.88%,23.86%,1.41%,0.87%,2.38%,NA,NA,NA,NA,NA,NA, strong lab
E14001297,Huddersfield,Yorkshire and The Humber,England,19.61%,14.95%,24.46%,57.67%,49.50%,66.20%,7.31%,3.37%,14.84%,7.67%,3.81%,13.40%,6.63%,3.21%,12.51%,NA,NA,NA,NA,NA,NA,NA,NA,NA, strong lab
E14001298,Huntingdon,Eastern,England,33.66%,26.19%,40.48%,32.66%,25.25%,40.93%,16.10%,9.80%,26.18%,10.91%,5.49%,19.57%,5.11%,2.26%,9.75%,0.40%,0.24%,0.65%,NA,NA,NA,NA,NA,NA, toss up
