pcon,pcon_name,region,country,con_est,con_low,con_high,lab_est,lab_low,lab_high,ld_est,ld_low,ld_high,ref_est,ref_low,ref_high,grn_est,grn_low,grn_high,oth_est,oth_low,oth_high,pc_est,pc_low,pc_high,snp_est,snp_low,snp_high,Seat category
E14001532,Surrey Heath,South East,England,35.15%,27.86%,42.68%,18.13%,11.29%,26.15%,29.16%,18.45%,41.45%,11.66%,6.09%,20.45%,4.38%,2.06%,9.44%,0.50%,0.28%,0.82%,NA,NA,NA,NA,NA,NA, lean con
E14001533,Sussex Weald,South East,England,34.86%,26.68%,42.50%,25.51%,18.35%,34.43%,14.90%,7.83%,24.34%,18.12%,9.40%,28.10%,5.51%,2.63%,10.57%,0.29%,0.18%,0.50%,NA,NA,NA,NA,NA,NA, lean con
E14001534,Sutton and Cheam,London,England,33.34%,26.18%,40.61%,25.40%,17.51%,34.71%,26.08%,17.10%,37.18%,9.50%,4.69%,17.31%,3.44%,1.41%,7.67%,1.28%,0.77%,2.10%,NA,NA,NA,NA,NA,NA, lean con
E14001535,Sutton Coldfield,West Midlands,England,32.84%,24.94%,39.60%,38.51%,30.58%,47.49%,5.29%,2.13%,10.78%,18.47%,10.69%,28.55%,3.26%,1.24%,6.95%,0.77%,0.43%,1.28%,NA,NA,NA,NA,NA,NA, lean lab
E14001536,Swindon North,South West,England,29.53%,22.30%,36.70%,45.54%,36.66%,54.81%,4.24%,1.63%,8.86%,14.25%,7.85%,23.89%,4.80%,2.10%,9.73%,0.41%,0.23%,0.71%,NA,NA,NA,NA,NA,NA, likely lab
E14001537,Swindon South,South West,England,28.37%,22.13%,34.33%,55.11%,47.23%,63.59%,3.30%,1.28%,6.98%,8.56%,4.05%,15.46%,3.07%,1.22%,6.73%,0.72%,0.38%,1.26%,NA,NA,NA,NA,NA,NA, strong lab
E14001538,Tamworth,West Midlands,England,36.99%,29.09%,44.67%,37.54%,30.00%,44.98%,3.31%,1.37%,7.66%,17.64%,10.51%,27.36%,2.97%,1.29%,6.69%,0.36%,0.21%,0.61%,NA,NA,NA,NA,NA,NA, toss up
E14001539,Tatton,North West,England,33.03%,26.29%,40.14%,41.92%,34.17%,51.55%,10.17%,4.87%,19.10%,10.02%,5.06%,17.48%,3.60%,1.59%,7.64%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean lab
E14001540,Taunton and Wellington,South West,England,31.23%,25.12%,37.59%,19.34%,13.19%,27.63%,35.42%,26.19%,44.73%,9.89%,5.56%,17.37%,2.82%,1.24%,6.01%,0.32%,0.17%,0.57%,NA,NA,NA,NA,NA,NA, toss up
E14001541,Telford,West Midlands,England,25.73%,17.61%,33.32%,45.15%,37.75%,53.49%,2.30%,0.80%,5.97%,23.44%,14.14%,36.18%,2.19%,0.84%,5.11%,NA,NA,NA,NA,NA,NA,NA,NA,NA, likely lab
E14001542,Tewkesbury,South West,England,32.91%,25.31%,40.49%,25.09%,17.52%,33.71%,23.01%,14.32%,34.49%,12.39%,6.06%,21.88%,4.90%,2.16%,9.88%,0.29%,0.16%,0.50%,NA,NA,NA,NA,NA,NA, lean con
E14001543,The Wrekin,West Midlands,England,35.61%,28.09%,43.37%,38.80%,31.22%,47.02%,5.51%,2.27%,11.90%,14.58%,7.74%,24.65%,4.04%,1.77%,7.98%,0.45%,0.25%,0.80%,NA,NA,NA,NA,NA,NA, toss up
E14001544,Thirsk and Malton,Yorkshire and The Humber,England,34.32%,25.98%,42.38%,28.03%,20.81%,35.79%,13.88%,7.90%,22.69%,15.83%,9.14%,25.81%,6.26%,3.03%,11.60%,0.47%,0.23%,0.94%,NA,NA,NA,NA,NA,NA, lean con
E14001545,Thornbury and Yate,South West,England,36.10%,28.02%,43.80%,15.92%,10.44%,22.95%,32.59%,23.00%,42.79%,11.41%,6.13%,19.79%,3.05%,1.29%,6.37%,NA,NA,NA,NA,NA,NA,NA,NA,NA, toss up
E14001546,Thurrock,Eastern,England,27.81%,20.54%,35.24%,47.97%,38.67%,58.00%,4.22%,1.60%,10.46%,13.65%,6.85%,24.17%,4.11%,1.70%,8.53%,0.80%,0.44%,1.59%,NA,NA,NA,NA,NA,NA, strong lab
E14001547,Tipton and Wednesbury,West Midlands,England,27.64%,21.03%,34.46%,47.00%,37.96%,55.63%,2.68%,0.98%,6.69%,17.15%,9.45%,27.54%,3.37%,1.37%,7.49%,1.09%,0.60%,1.87%,NA,NA,NA,NA,NA,NA, likely lab
E14001548,Tiverton and Minehead,South West,England,29.15%,21.99%,36.76%,15.99%,10.73%,21.87%,38.49%,29.02%,49.49%,11.93%,6.77%,20.32%,3.25%,1.37%,6.36%,NA,NA,NA,NA,NA,NA,NA,NA,NA, lean ld
E14001549,Tonbridge,South East,England,32.73%,25.61%,40.10%,33.52%,24.81%,42.13%,9.67%,5.04%,16.83%,15.67%,8.42%,25.61%,7.01%,3.87%,12.62%,0.34%,0.21%,0.59%,NA,NA,NA,NA,NA,NA, toss up
E14001550,Tooting,London,England,13.34%,9.70%,16.93%,64.66%,54.69%,73.87%,7.21%,2.93%,14.80%,5.34%,2.53%,9.69%,6.57%,2.89%,12.98%,1.84%,1.16%,2.80%,NA,NA,NA,NA,NA,NA, strong lab
E14001551,Torbay,South West,England,33.71%,26.45%,40.81%,20.76%,13.97%,29.21%,29.46%,20.48%,41.20%,10.38%,5.46%,17.79%,4.37%,2.09%,8.44%,0.32%,0.19%,0.53%,NA,NA,NA,NA,NA,NA, toss up
