Seat Name,Electorate,CON,LAB,LIB,Reform,Green,"SNP/Plaid",Indept.,Other
Broxtowe,"71,567.000000000",0.203681602,0.516112066,0.029796703,0.197147770,0.046505512,0.000000000,0.000000000,0.006756347
Buckingham and Bletchley,"73,799.000000000",0.215276813,0.453143300,0.062846140,0.197848224,0.063461500,0.000000000,0.000000000,0.007424023
Buckinghamshire Mid,"72,601.000000000",0.259257528,0.219281840,0.256639237,0.131428839,0.129792407,0.000000000,0.000000000,0.003600150
Burnley,"74,722.000000000",0.180029068,0.432417622,0.059850849,0.265993186,0.047032475,0.000000000,0.000000000,0.014676801
Burton and Uttoxeter,"75,038.000000000",0.256571668,0.289096181,0.032390981,0.359887070,0.062054099,0.000000000,0.000000000,0.000000000
Bury North,"77,499.000000000",0.203285820,0.549054259,0.025245660,0.173903756,0.040723191,0.000000000,0.000000000,0.007787315
Bury South,"75,131.000000000",0.138091449,0.546203913,0.027014344,0.216114750,0.055885413,0.000000000,0.000000000,0.016690131
Bury St Edmunds and Stowmarket,"76,811.000000000",0.225182261,0.394855657,0.055626136,0.188691046,0.126067666,0.000000000,0.000000000,0.009577234
Calder Valley,"76,434.000000000",0.171626018,0.556139609,0.030160451,0.169438880,0.061423662,0.000000000,0.000000000,0.011211380
Camborne and Redruth,"73,101.000000000",0.186061484,0.445396749,0.063033156,0.224871238,0.069068888,0.000000000,0.000000000,0.011568485
Cambridge,"73,882.000000000",0.144734250,0.265021079,0.468303061,0.000000000,0.104999803,0.000000000,0.000000000,0.016941807
Cambridgeshire North East,"70,565.000000000",0.342480172,0.311906394,0.057084108,0.238788799,0.036644473,0.000000000,0.000000000,0.013096054
Cambridgeshire North West,"72,889.000000000",0.253125528,0.389487244,0.084558202,0.215344653,0.057484372,0.000000000,0.000000000,0.000000000
Cambridgeshire South,"75,311.000000000",0.170034398,0.088673016,0.607332377,0.102380170,0.026982179,0.000000000,0.000000000,0.004597860
Cannock Chase,"74,815.000000000",0.207990706,0.281178105,0.014783262,0.413020205,0.083027721,0.000000000,0.000000000,0.000000000
Canterbury,"75,633.000000000",0.175766247,0.560490248,0.051622863,0.145605844,0.059285338,0.000000000,0.000000000,0.007229460
Carlisle,"76,811.000000000",0.219504390,0.513030261,0.026880538,0.200424008,0.032960659,0.000000000,0.000000000,0.007200144
Carshalton and Wallington,"73,133.000000000",0.215778347,0.096576818,0.524088303,0.137333821,0.021161117,0.000000000,0.000000000,0.005061593
Castle Point,"71,217.000000000",0.317822571,0.324222754,0.045917321,0.282951828,0.029085526,0.000000000,0.000000000,0.000000000
Chatham and Aylesford,"74,212.000000000",0.228810400,0.416895764,0.049555007,0.238455804,0.052187689,0.000000000,0.000000000,0.014095336
Cheadle,"74,578.000000000",0.238176276,0.126044920,0.494885269,0.109662820,0.021955005,0.000000000,0.000000000,0.009275709
Chelmsford,"76,077.000000000",0.270111232,0.137684234,0.436682592,0.128959067,0.021490103,0.000000000,0.000000000,0.005072771
Chelsea and Fulham,"78,943.000000000",0.257101238,0.499168954,0.081218369,0.112088446,0.046613256,0.000000000,0.000000000,0.003809737
Cheltenham,"76,294.000000000",0.248608879,0.056321353,0.671238901,0.000000000,0.021852008,0.000000000,0.000000000,0.001978858
Chesham and Amersham,"73,642.000000000",0.345825337,0.064006580,0.443490731,0.101292785,0.032836325,0.000000000,0.000000000,0.012548242
Cheshire Mid,"69,411.000000000",0.179766206,0.511370882,0.036365569,0.212391073,0.047672689,0.000000000,0.000000000,0.012433581
Chester North and Neston,"73,078.000000000",0.133488773,0.598985070,0.029468239,0.181805713,0.056252204,0.000000000,0.000000000,0.000000000
Chester South and Eddisbury,"71,875.000000000",0.249965453,0.424735959,0.077425723,0.185016287,0.053124075,0.000000000,0.000000000,0.009732504
Chesterfield,"71,033.000000000",0.121394961,0.484454150,0.039872121,0.298151609,0.042686359,0.000000000,0.000000000,0.013440800
Chichester,"76,286.000000000",0.231036792,0.075499423,0.328615007,0.280402515,0.072765150,0.000000000,0.000000000,0.011681113
Chingford and Woodford Green,"75,340.000000000",0.430616446,0.262418512,0.032080363,0.060405627,0.036864778,0.000000000,0.177614273,0.000000000
Chippenham,"71,341.000000000",0.247660907,0.101184637,0.481079756,0.137534898,0.025711160,0.000000000,0.000000000,0.006828643
Chipping Barnet,"77,717.000000000",0.240234266,0.541005857,0.039713675,0.127712187,0.048396393,0.000000000,0.000000000,0.002937622
Chorley,"74,743.000000000",0.000000000,0.789894746,0.000000000,0.000000000,0.182015241,0.000000000,0.000000000,0.028090013
Christchurch,"71,673.000000000",0.327332476,0.219745678,0.134138210,0.235867029,0.023765300,0.000000000,0.000000000,0.059151307
Cities of London and Westminster,"74,448.000000000",0.204824742,0.470041237,0.108804124,0.135072165,0.069752577,0.000000000,0.000000000,0.011505155
Clacton,"76,574.000000000",0.214700476,0.184622776,0.034881778,0.499853789,0.045367199,0.000000000,0.000000000,0.020573983
Clapham and Brixton Hill,"79,342.000000000",0.084764027,0.670331677,0.061586791,0.069129895,0.097220193,0.000000000,0.000000000,0.016967417
Colchester,"75,677.000000000",0.185594013,0.458850431,0.083172227,0.192433219,0.071572602,0.000000000,0.000000000,0.008377508
Colne Valley,"71,047.000000000",0.209321068,0.543126155,0.033101388,0.155580454,0.050654558,0.000000000,0.000000000,0.008216378
Congleton,"69,884.000000000",0.250920068,0.367820370,0.032832982,0.268018856,0.037236902,0.000000000,0.000000000,0.043170822
Corby and East Northamptonshire,"76,933.000000000",0.213670128,0.511238220,0.032841321,0.207815889,0.030038964,0.000000000,0.000000000,0.004395478
Cornwall North,"74,608.000000000",0.224781649,0.086956522,0.474191381,0.186889337,0.020673769,0.000000000,0.000000000,0.006507342
Cornwall South East,"71,359.000000000",0.273898595,0.340217325,0.123381786,0.215755030,0.041120466,0.000000000,0.000000000,0.005626797
Cotswolds North,"70,809.000000000",0.278733919,0.160048459,0.149587524,0.306809223,0.098455858,0.000000000,0.000000000,0.006365017
Cotswolds South,"72,683.000000000",0.253771795,0.093847683,0.484777306,0.133435721,0.028385581,0.000000000,0.000000000,0.005781913
Coventry East,"74,310.000000000",0.103077876,0.566549611,0.022286488,0.230140696,0.064633111,0.000000000,0.000000000,0.013312217
Coventry North West,"75,247.000000000",0.148087360,0.569327731,0.028011204,0.166951155,0.077818627,0.000000000,0.000000000,0.009803922
Coventry South,"72,674.000000000",0.147436596,0.590575049,0.028305384,0.152648451,0.071984648,0.000000000,0.000000000,0.009049872
Cramlington and Killingworth,"73,124.000000000",0.147372872,0.490199810,0.040363675,0.251358495,0.058991437,0.000000000,0.000000000,0.011713712
Crawley,"74,206.000000000",0.167488600,0.530012587,0.025916679,0.201349483,0.066504344,0.000000000,0.000000000,0.008728308
Crewe and Nantwich,"76,322.000000000",0.169126462,0.514513118,0.020556156,0.238282401,0.049680652,0.000000000,0.000000000,0.007841211
Croydon East,"75,259.000000000",0.213738275,0.375276443,0.085392359,0.283382902,0.042210021,0.000000000,0.000000000,0.000000000
Croydon South,"71,305.000000000",0.275544775,0.452298378,0.065232644,0.149830604,0.051741074,0.000000000,0.000000000,0.005352525
Croydon West,"70,732.000000000",0.098228136,0.627078281,0.042537851,0.124074195,0.092285508,0.000000000,0.000000000,0.015796028
Dagenham and Rainham,"73,233.000000000",0.130925211,0.500548631,0.028199614,0.275149228,0.053634129,0.000000000,0.000000000,0.011543188
Darlington,"70,099.000000000",0.191996565,0.531656725,0.023341468,0.198933478,0.054071764,0.000000000,0.000000000,0.000000000
Dartford,"71,324.000000000",0.249983633,0.448530214,0.046330445,0.208126923,0.047028785,0.000000000,0.000000000,0.000000000
Daventry,"76,041.000000000",0.205731796,0.326618379,0.079186545,0.310652227,0.077811053,0.000000000,0.000000000,0.000000000
Derby North,"73,198.000000000",0.197170290,0.512287455,0.038934946,0.212608916,0.038998393,0.000000000,0.000000000,0.000000000
Derby South,"73,061.000000000",0.114468267,0.473059011,0.028842044,0.299061846,0.041598236,0.000000000,0.000000000,0.042970596
Derbyshire Dales,"71,145.000000000",0.268909034,0.405007392,0.077153529,0.198467045,0.043732005,0.000000000,0.000000000,0.006730994
Derbyshire Mid,"70,483.000000000",0.220894632,0.434811133,0.053896620,0.223797217,0.054015905,0.000000000,0.000000000,0.012584493
Derbyshire North East,"72,212.000000000",0.361435035,0.322118142,0.038063680,0.221882368,0.051955224,0.000000000,0.000000000,0.004545551
Derbyshire South,"70,152.000000000",0.226739888,0.449994720,0.031133171,0.253923329,0.034322526,0.000000000,0.000000000,0.003886366
Devon Central,"73,137.000000000",0.280263687,0.378322442,0.121763793,0.164727977,0.049556369,0.000000000,0.000000000,0.005365732
Devon North,"75,860.000000000",0.240478308,0.084366072,0.468809718,0.178703196,0.021474656,0.000000000,0.000000000,0.006168051
Devon South,"72,090.000000000",0.362841507,0.068579247,0.280495105,0.209136774,0.075462824,0.000000000,0.000000000,0.003484544
Devon South West,"75,337.000000000",0.242953830,0.371359086,0.098014818,0.215070792,0.059480044,0.000000000,0.000000000,0.013121430
Dewsbury and Batley,"69,626.000000000",0.231200251,0.383692920,0.068731672,0.176110180,0.103869920,0.000000000,0.000000000,0.036395057
Didcot and Wantage,"73,642.000000000",0.229764622,0.139654979,0.463439734,0.126071175,0.036242188,0.000000000,0.000000000,0.004827302
Doncaster Central,"75,156.000000000",0.131493031,0.469367077,0.026388670,0.307004706,0.054240875,0.000000000,0.000000000,0.011505640
Doncaster East and the Isle of Axholme,"70,027.000000000",0.208607444,0.458825965,0.022105166,0.259143396,0.045406450,0.000000000,0.000000000,0.005911579
Doncaster North,"71,752.000000000",0.324599320,0.491549296,0.048955804,0.000000000,0.100437105,0.000000000,0.000000000,0.034458475
Dorking and Horley,"70,013.000000000",0.214660963,0.091898383,0.516116927,0.140080303,0.037243424,0.000000000,0.000000000,0.000000000
Dorset Mid and Poole North,"74,424.000000000",0.548903730,0.071205497,0.338586460,0.000000000,0.029789074,0.000000000,0.000000000,0.011515239
Dorset North,"72,596.000000000",0.312432945,0.156639432,0.306263927,0.156536271,0.063237600,0.000000000,0.000000000,0.004889824
Dorset South,"77,420.000000000",0.275982829,0.352745142,0.108167646,0.202007079,0.053434252,0.000000000,0.000000000,0.007663052
Dorset West,"76,136.000000000",0.357323854,0.100390652,0.503149856,0.000000000,0.035809812,0.000000000,0.000000000,0.003325825
Dover and Deal,"76,985.000000000",0.195843816,0.471978446,0.032231225,0.248638048,0.045662553,0.000000000,0.000000000,0.005645912
Droitwich and Evesham,"73,836.000000000",0.334959141,0.213430026,0.208360074,0.171715227,0.064304967,0.000000000,0.000000000,0.007230565
Dudley,"71,755.000000000",0.236809317,0.464668040,0.024664988,0.220942355,0.040481094,0.000000000,0.000000000,0.012434206
Dulwich and West Norwood,"74,932.000000000",0.070904462,0.683681491,0.030791405,0.069201108,0.130016472,0.000000000,0.000000000,0.015405061
Dunstable and Leighton Buzzard,"74,095.000000000",0.398265931,0.260904077,0.153929131,0.118453992,0.062564875,0.000000000,0.000000000,0.005881994
Durham North,"72,859.000000000",0.135613080,0.443921279,0.045305618,0.260637490,0.073361252,0.000000000,0.000000000,0.041161282
"Durham, City of","72,653.000000000",0.154946340,0.480749154,0.094354199,0.153088069,0.088967303,0.000000000,0.000000000,0.027894935
Ealing Central and Acton,"76,249.000000000",0.143465425,0.575413497,0.074770069,0.093770107,0.092161538,0.000000000,0.000000000,0.020419363
Ealing North,"73,069.000000000",0.126375622,0.594632135,0.037673355,0.140436353,0.084086587,0.000000000,0.000000000,0.016795948
Ealing Southall,"75,523.000000000",0.102821166,0.624987468,0.039560484,0.122190364,0.094419826,0.000000000,0.000000000,0.016020693
Earley and Woodley,"70,472.000000000",0.343036805,0.426972838,0.147078914,0.000000000,0.076422372,0.000000000,0.000000000,0.006489071
Easington,"69,856.000000000",0.100864768,0.475771582,0.028577108,0.295537001,0.063565429,0.000000000,0.000000000,0.035684111
East Grinstead and Uckfield,"72,092.000000000",0.557755993,0.172708731,0.116389236,0.000000000,0.098822291,0.000000000,0.000000000,0.054323749
East Ham,"70,899.000000000",0.109562293,0.545479199,0.073656235,0.097006021,0.128844172,0.000000000,0.000000000,0.045452080
Eastbourne,"73,000.000000000",0.239750808,0.058622091,0.564416584,0.120629946,0.013833266,0.000000000,0.000000000,0.002747306
Eastleigh,"69,813.000000000",0.191737268,0.086756752,0.534305267,0.149803222,0.028537640,0.000000000,0.000000000,0.008859851
Edmonton and Winchmore Hill,"75,656.000000000",0.135654162,0.581606568,0.043749351,0.128941079,0.086916762,0.000000000,0.000000000,0.023132079
Ellesmere Port and Bromborough,"71,097.000000000",0.123562253,0.580177987,0.039165477,0.148749055,0.087524137,0.000000000,0.000000000,0.020821090
Eltham and Chislehurst,"74,030.000000000",0.097657472,0.517398745,0.062418343,0.274994019,0.042066135,0.000000000,0.000000000,0.005465285
Ely and East Cambridgeshire,"76,033.000000000",0.304083740,0.237480089,0.238267780,0.174709867,0.042325264,0.000000000,0.000000000,0.003133260
Enfield North,"77,308.000000000",0.134091111,0.465744605,0.066934553,0.198450404,0.120326792,0.000000000,0.000000000,0.014452535
Epping Forest,"74,303.000000000",0.453801653,0.313305785,0.098574380,0.000000000,0.098491736,0.000000000,0.000000000,0.035826446
Epsom and Ewell,"77,463.000000000",0.203807018,0.142526316,0.367421053,0.205964912,0.046842105,0.000000000,0.000000000,0.033438596
Erewash,"72,525.000000000",0.206388460,0.498238022,0.018547141,0.246450283,0.026336940,0.000000000,0.000000000,0.004039155
Erith and Thamesmead,"73,353.000000000",0.104028006,0.585400640,0.032241335,0.187764716,0.076065347,0.000000000,0.000000000,0.014499957
Esher and Walton,"72,783.000000000",0.212625823,0.068952050,0.557865398,0.129649026,0.021214650,0.000000000,0.000000000,0.009693053
Essex North West,"76,643.000000000",0.306123620,0.307041876,0.140110573,0.169686071,0.060757944,0.000000000,0.000000000,0.016279915
Exeter,"72,928.000000000",0.123051747,0.526152986,0.046358938,0.141491548,0.151729230,0.000000000,0.000000000,0.011215550
Exmouth and Exeter East,"74,902.000000000",0.324048238,0.119981083,0.313833057,0.139134547,0.095696382,0.000000000,0.006951998,0.000354694
Fareham and Waterlooville,"76,845.000000000",0.232917379,0.248243843,0.197138370,0.287906246,0.031118935,0.000000000,0.000000000,0.002675227
Farnham and Bordon,"72,663.000000000",0.236555751,0.107794976,0.424747428,0.187913616,0.024654741,0.000000000,0.000000000,0.018333488
Faversham and Kent Mid,"71,738.000000000",0.292218129,0.356642562,0.086914995,0.202483286,0.048756083,0.000000000,0.000000000,0.012984946
