PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001124,Brentford and Isleworth,London,23.00,43.82,12.19,4.72,10.58,0,0,5.66,17.67,33.56,6.86,1.26,4.88,0,0,1.61,28.77,53.90,18.70,11.59,19.32,0,0,13.31
E14001125,Brentwood and Ongar,East of England,36.90,34.62,10.11,2.91,13.74,0,0,1.68,28.48,25.06,5.14,0.73,6.59,0,0,0.32,45.78,45.15,16.35,7.45,24.35,0,0,4.82
E14001126,Bridgwater,South West,26.88,44.77,12.50,2.86,11.45,0,0,1.45,20.49,33.86,6.43,0.68,5.28,0,0,0.27,33.69,55.71,20.42,6.83,19.57,0,0,4.15
E14001127,Bridlington and The Wolds,Yorkshire and The Humber,28.00,37.26,5.36,6.45,21.15,0,0,1.70,20.64,27.38,2.58,2.12,11.37,0,0,0.28,36.07,48.50,9.38,14.25,32.34,0,0,5.29
E14001128,Brigg and Immingham,Yorkshire and The Humber,30.79,39.53,4.53,4.67,19.35,0,0,1.07,22.21,28.04,2.04,1.17,9.48,0,0,0.23,38.35,50.86,8.32,11.73,33.08,0,0,3.15
E14001129,Brighton Kemptown and Peacehaven,South East,18.76,57.93,5.25,3.44,12.94,0,0,1.65,14.02,48.67,2.25,1.01,6.48,0,0,0.29,24.21,67.01,9.67,7.74,21.49,0,0,4.36
E14001130,Brighton Pavilion,South East,15.61,47.28,5.48,21.91,8.58,0,0,0.99,7.74,31.15,0.68,6.11,2.13,0,0,0.00,25.88,64.64,15.73,39.90,20.51,0,0,7.06
E14001131,Bristol Central,South West,10.75,62.88,4.47,16.91,2.55,0,0,2.27,6.66,48.99,1.21,7.11,0.55,0,0,0.15,15.98,75.12,11.12,29.72,5.88,0,0,8.04
E14001132,Bristol East,South West,14.33,64.63,4.02,6.06,8.40,0,0,2.51,10.42,54.15,1.80,1.96,3.74,0,0,0.48,19.08,73.85,7.44,12.74,15.70,0,0,6.73
E14001133,Bristol North East,South West,22.30,52.87,5.14,4.49,12.30,0,0,2.82,16.12,42.30,2.32,1.30,5.76,0,0,0.62,28.18,62.48,9.68,10.52,22.68,0,0,7.66
E14001134,Bristol North West,South West,19.62,56.87,6.31,7.61,7.51,0,0,2.02,15.03,46.87,3.08,2.92,3.16,0,0,0.38,24.64,66.75,11.13,16.01,14.39,0,0,5.73
E14001135,Bristol South,South West,16.70,59.47,5.25,6.50,8.53,0,0,3.48,12.49,48.45,2.21,2.00,3.64,0,0,0.79,21.42,69.62,10.02,14.36,15.58,0,0,9.28
E14001136,Broadland and Fakenham,East of England,30.00,38.00,11.63,4.78,13.43,0,0,2.13,23.04,26.81,6.11,1.32,6.27,0,0,0.49,37.30,49.65,18.75,11.25,23.24,0,0,6.51
E14001137,Bromley and Biggin Hill,London,30.81,42.22,9.14,4.90,10.39,0,0,2.50,24.61,32.93,4.77,1.66,5.09,0,0,0.58,37.57,51.97,15.00,10.63,17.60,0,0,6.10
E14001138,Bromsgrove,West Midlands,34.73,36.42,9.02,3.74,14.25,0,0,1.75,26.98,26.40,4.68,1.16,6.54,0,0,0.40,42.54,46.38,15.36,8.30,25.31,0,0,4.38
E14001139,Broxbourne,East of England,33.01,38.33,6.46,3.12,15.49,0,0,3.51,24.57,28.05,3.21,0.78,7.41,0,0,0.83,41.51,49.17,11.43,8.77,27.29,0,0,11.51
E14001140,Broxtowe,East Midlands,27.12,42.87,3.93,4.19,19.10,0,0,2.76,20.93,32.93,1.86,1.02,11.68,0,0,0.59,33.61,52.01,7.39,10.41,28.69,0,0,6.96
E14001141,Buckingham and Bletchley,South East,31.36,40.63,9.17,2.50,14.52,0,0,1.79,24.19,31.35,4.80,0.69,7.54,0,0,0.42,38.18,50.44,14.49,6.18,24.64,0,0,4.60
E14001142,Burnley,North West,21.62,50.16,5.96,4.61,14.08,0,0,3.55,15.84,39.75,2.73,1.30,6.95,0,0,0.82,27.44,60.07,10.66,10.80,23.89,0,0,9.69
E14001143,Burton and Uttoxeter,West Midlands,30.60,44.03,5.74,2.63,13.61,0,0,3.37,23.71,34.24,2.61,0.65,6.70,0,0,0.91,37.71,53.81,10.45,6.41,23.20,0,0,10.24
E14001144,Bury North,North West,27.09,47.51,5.90,3.06,14.85,0,0,1.57,20.66,37.90,2.67,0.76,7.61,0,0,0.29,33.79,57.04,11.26,7.56,24.46,0,0,4.17
E14001145,Bury South,North West,21.78,58.18,4.08,3.08,10.95,0,0,1.89,16.56,49.37,1.75,0.85,5.90,0,0,0.49,27.49,67.37,7.60,7.14,17.72,0,0,4.72
E14001146,Bury St Edmunds and Stowmarket,East of England,27.89,37.93,3.18,10.37,17.84,0,0,2.73,20.02,27.78,1.42,4.22,8.95,0,0,0.54,35.88,49.02,6.06,18.11,29.59,0,0,7.51
E14001147,Calder Valley,Yorkshire and The Humber,28.66,49.53,4.00,4.61,11.35,0,0,1.73,22.30,39.58,1.75,1.02,4.98,0,0,0.27,35.11,59.77,7.34,12.96,20.51,0,0,4.94
E14001148,Camborne and Redruth,South West,27.25,48.94,4.32,4.19,13.36,0,0,1.79,20.67,38.79,1.83,1.19,6.01,0,0,0.36,34.38,59.02,8.47,9.51,23.86,0,0,5.20
E14001149,Cambridge,East of England,12.41,56.04,15.51,8.04,3.45,0,0,4.49,8.04,41.39,7.45,2.29,1.01,0,0,0.88,17.04,69.72,25.78,20.07,7.95,0,0,12.20
E14001150,Cannock Chase,West Midlands,27.91,37.02,2.37,5.47,25.11,0,0,2.09,19.15,27.30,1.02,2.17,14.04,0,0,0.45,36.40,47.86,4.68,10.99,39.54,0,0,5.66
E14001151,Canterbury,South East,22.59,55.01,6.91,2.77,10.20,0,0,2.47,16.34,43.87,3.07,0.46,4.54,0,0,0.47,28.72,65.86,12.21,9.67,19.61,0,0,6.66
E14001152,Carlisle,North West,29.91,47.56,6.61,2.70,11.20,0,0,1.98,23.17,38.80,3.43,0.65,5.24,0,0,0.38,36.70,56.34,11.70,6.88,19.39,0,0,5.41
E14001153,Carshalton and Wallington,London,24.45,27.61,35.07,2.66,8.21,0,0,1.99,18.68,18.64,24.35,0.59,3.60,0,0,0.38,30.93,38.53,46.22,7.08,15.54,0,0,5.77
E14001154,Castle Point,East of England,37.31,36.22,5.34,1.61,15.94,0,0,3.52,27.99,25.90,2.46,0.28,7.29,0,0,0.79,46.91,47.31,9.89,4.71,27.05,0,0,9.33
E14001155,Central Devon,South West,29.69,37.97,11.25,5.63,12.87,0,0,2.56,22.36,28.35,6.07,1.81,5.74,0,0,0.59,36.78,47.17,18.36,12.22,23.92,0,0,7.63
E14001156,Central Suffolk and North Ipswich,East of England,28.48,45.01,5.40,6.41,12.44,0,0,2.20,21.65,34.24,2.44,2.46,5.31,0,0,0.44,35.47,56.00,9.59,13.66,21.86,0,0,5.93
E14001157,Chatham and Aylesford,South East,31.87,37.38,5.91,2.90,19.65,0,0,2.25,23.78,26.91,2.78,0.64,9.63,0,0,0.52,40.37,48.50,10.76,7.21,32.94,0,0,6.00
E14001158,Cheadle,North West,26.11,21.83,42.10,2.04,6.62,0,0,1.21,20.13,13.54,32.81,0.33,2.49,0,0,0.22,32.50,30.52,53.01,6.52,13.69,0,0,3.61
E14001159,Chelmsford,East of England,26.81,30.98,25.48,2.82,11.53,0,0,2.35,20.45,22.33,17.02,0.69,5.67,0,0,0.45,33.67,39.94,35.18,6.91,20.31,0,0,5.90
E14001160,Chelsea and Fulham,London,32.40,35.04,17.63,6.25,6.27,0,0,2.35,24.67,24.23,9.55,1.43,2.19,0,0,0.39,40.50,46.49,28.19,14.40,13.27,0,0,6.93
E14001161,Cheltenham,South West,22.24,17.53,46.68,2.86,9.17,0,0,1.49,16.59,10.42,36.40,0.61,4.19,0,0,0.26,28.52,25.51,57.44,7.46,16.83,0,0,4.43
E14001162,Chesham and Amersham,South East,30.17,16.54,39.45,5.25,7.06,0,0,1.48,21.91,10.30,30.07,1.55,3.16,0,0,0.21,38.36,24.15,49.83,10.58,12.29,0,0,4.44
